Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
La Romana,0,0.0,0,colera,14,2018
La Vega,1,4.56,0,colera,14,2018
María Trinidad Sánchez,0,0.0,0,colera,14,2018
Monseñor Nouel,0,0.0,0,colera,14,2018
Monte Cristi,0,0.0,0,colera,14,2018
Monte Plata,0,0.0,0,colera,14,2018
Pedernales,0,0.0,0,colera,14,2018
Peravia,0,3.83,0,colera,14,2018
Puerto Plata,0,0.0,0,colera,14,2018
Samaná,0,0.0,0,colera,14,2018
San Cristóbal,0,1.2,0,colera,14,2018
San José de Ocoa,0,0.0,0,colera,14,2018
San Juan,0,0.0,0,colera,14,2018
San Pedro de Macorís,0,1.23,0,colera,14,2018
Santiago,0,0.0,0,colera,14,2018
Santiago Rodríguez,0,0.0,0,colera,14,2018
Santo Domingo,0,0.27,0,colera,14,2018
Sánchez Ramírez,0,0.0,0,colera,14,2018
Valverde,0,0.0,0,colera,14,2018
Azua,0,1.57,0,colera,15,2018
Baoruco,0,0.0,0,colera,15,2018
Barahona,0,0.0,0,colera,15,2018
Dajabón,0,0.0,0,colera,15,2018
Distrito Nacional,0,0.34,0,colera,15,2018
Duarte,0,0.0,0,colera,15,2018
El Seibo,0,0.0,0,colera,15,2018
Elías Piña,0,0.0,0,colera,15,2018
Espaillat,1,1.46,0,colera,15,2018
Extranjera,0,0.0,0,colera,15,2018
Hato Mayor,0,0.0,0,colera,15,2018
Hermanas Mirabal,0,0.0,0,colera,15,2018
Independencia,0,0.0,0,colera,15,2018
La Altagracia,0,0.0,0,colera,15,2018
La Romana,0,0.0,0,colera,15,2018
La Vega,0,4.26,0,colera,15,2018
María Trinidad Sánchez,0,0.0,0,colera,15,2018
Monseñor Nouel,0,0.0,0,colera,15,2018
Monte Cristi,0,0.0,0,colera,15,2018
Monte Plata,0,0.0,0,colera,15,2018
Pedernales,0,0.0,0,colera,15,2018
Peravia,0,3.58,0,colera,15,2018
Puerto Plata,0,0.0,0,colera,15,2018
Samaná,0,0.0,0,colera,15,2018
San Cristóbal,0,1.12,0,colera,15,2018
San José de Ocoa,0,0.0,0,colera,15,2018
San Juan,0,0.0,0,colera,15,2018
San Pedro de Macorís,0,1.15,0,colera,15,2018
Santiago,0,0.0,0,colera,15,2018
Santiago Rodríguez,0,0.0,0,colera,15,2018
Santo Domingo,0,0.25,0,colera,15,2018
Sánchez Ramírez,0,0.0,0,colera,15,2018
Valverde,0,0.0,0,colera,15,2018
Azua,0,1.39,0,colera,17,2018
Baoruco,0,0.0,0,colera,17,2018
Barahona,0,0.0,0,colera,17,2018
Dajabón,0,0.0,0,colera,17,2018
Distrito Nacional,0,0.3,0,colera,17,2018
Duarte,0,0.0,0,colera,17,2018
El Seibo,0,0.0,0,colera,17,2018
Elías Piña,0,0.0,0,colera,17,2018
Espaillat,0,1.29,0,colera,17,2018
Extranjera,0,0.0,0,colera,17,2018
Hato Mayor,0,0.0,0,colera,17,2018
Hermanas Mirabal,0,0.0,0,colera,17,2018
Independencia,0,0.0,0,colera,17,2018
La Altagracia,0,1.85,0,colera,17,2018
La Romana,0,0.0,0,colera,17,2018
La Vega,0,3.76,0,colera,17,2018
María Trinidad Sánchez,0,0.0,0,colera,17,2018
Monseñor Nouel,0,0.0,0,colera,17,2018
Monte Cristi,0,0.0,0,colera,17,2018
Monte Plata,0,0.0,0,colera,17,2018
Pedernales,0,0.0,0,colera,17,2018
Peravia,0,3.16,0,colera,17,2018
Puerto Plata,0,0.0,0,colera,17,2018
Samaná,0,0.0,0,colera,17,2018
San Cristóbal,0,0.99,0,colera,17,2018
San José de Ocoa,0,0.0,0,colera,17,2018
San Juan,0,0.0,0,colera,17,2018
San Pedro de Macorís,0,1.02,0,colera,17,2018
Santiago,0,0.0,0,colera,17,2018
Santiago Rodríguez,0,0.0,0,colera,17,2018
Santo Domingo,0,0.22,0,colera,17,2018
Sánchez Ramírez,0,0.0,0,colera,17,2018
Valverde,0,0.0,0,colera,17,2018
Azua,0,1.31,0,colera,18,2018
Baoruco,0,0.0,0,colera,18,2018
Barahona,0,0.0,0,colera,18,2018
Dajabón,0,0.0,0,colera,18,2018
Distrito Nacional,0,0.28,0,colera,18,2018
Duarte,0,0.0,0,colera,18,2018
El Seibo,0,0.0,0,colera,18,2018
Elías Piña,0,0.0,0,colera,18,2018
Espaillat,0,1.21,0,colera,18,2018
