Provincia,Casos Confirmados,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Espaillat,0,0.0,0,Malaria,15,2018
Extranjera,2,0.0,0,Malaria,15,2018
Hato Mayor,0,0.0,0,Malaria,15,2018
Hermanas Mirabal,0,0.0,0,Malaria,15,2018
Independencia,0,0.0,0,Malaria,15,2018
La Altagracia,0,16.79,0,Malaria,15,2018
La Romana,0,0.0,0,Malaria,15,2018
La Vega,0,0.0,0,Malaria,15,2018
María Trinidad Sánchez,0,0.0,0,Malaria,15,2018
Monseñor Nouel,0,0.0,0,Malaria,15,2018
Monte Cristi,0,0.0,0,Malaria,15,2018
Monte Plata,0,0.0,0,Malaria,15,2018
Pedernales,0,0.0,0,Malaria,15,2018
Peravia,0,0.0,0,Malaria,15,2018
Puerto Plata,0,0.0,0,Malaria,15,2018
Samaná,0,0.0,0,Malaria,15,2018
San Cristóbal,0,0.0,0,Malaria,15,2018
San José de Ocoa,0,0.0,0,Malaria,15,2018
San Juan,0,0.0,0,Malaria,15,2018
San Pedro de Macorís,0,3.45,0,Malaria,15,2018
Santiago,0,0.0,0,Malaria,15,2018
Santiago Rodríguez,0,0.0,0,Malaria,15,2018
Santo Domingo,6,4.91,0,Malaria,15,2018
Sánchez Ramírez,0,0.0,0,Malaria,15,2018
Valverde,0,0.0,0,Malaria,15,2018
Azua,0,0.0,0,Malaria,17,2018
Baoruco,0,0.0,0,Malaria,17,2018
Barahona,0,0.0,0,Malaria,17,2018
Dajabón,0,0.0,0,Malaria,17,2018
Distrito Nacional,0,3.0,0,Malaria,17,2018
Duarte,0,0.0,0,Malaria,17,2018
El Seibo,0,4.0,0,Malaria,17,2018
Elías Piña,0,0.0,0,Malaria,17,2018
Espaillat,0,0.0,0,Malaria,17,2018
Extranjera,2,12.0,0,Malaria,17,2018
Hato Mayor,0,0.0,0,Malaria,17,2018
Hermanas Mirabal,0,0.0,0,Malaria,17,2018
Independencia,0,0.0,0,Malaria,17,2018
La Altagracia,0,16.0,0,Malaria,17,2018
La Romana,0,0.0,0,Malaria,17,2018
La Vega,0,0.0,0,Malaria,17,2018
María Trinidad Sánchez,0,0.0,0,Malaria,17,2018
Monseñor Nouel,0,0.0,0,Malaria,17,2018
Monte Cristi,0,0.0,0,Malaria,17,2018
Monte Plata,0,0.0,0,Malaria,17,2018
Pedernales,0,0.0,0,Malaria,17,2018
Peravia,0,0.0,0,Malaria,17,2018
Puerto Plata,0,0.0,0,Malaria,17,2018
Samaná,0,0.0,0,Malaria,17,2018
San Cristóbal,0,0.0,0,Malaria,17,2018
San José de Ocoa,0,0.0,0,Malaria,17,2018
San Juan,0,0.0,0,Malaria,17,2018
San Pedro de Macorís,0,3.0,0,Malaria,17,2018
Santiago,0,0.0,0,Malaria,17,2018
Santiago Rodríguez,0,0.0,0,Malaria,17,2018
Santo Domingo,9,42.0,0,Malaria,17,2018
Sánchez Ramírez,0,0.0,0,Malaria,17,2018
Valverde,0,0.0,0,Malaria,17,2018
Azua,0,0.0,0,Malaria,18,2018
Baoruco,0,0.0,0,Malaria,18,2018
Barahona,0,0.0,0,Malaria,18,2018
Dajabón,0,0.0,0,Malaria,18,2018
Distrito Nacional,1,3.0,0,Malaria,18,2018
Duarte,0,0.0,0,Malaria,18,2018
El Seibo,0,4.0,0,Malaria,18,2018
Elías Piña,0,0.0,0,Malaria,18,2018
Espaillat,0,0.0,0,Malaria,18,2018
Extranjera,0,12.0,0,Malaria,18,2018
Hato Mayor,0,0.0,0,Malaria,18,2018
Hermanas Mirabal,0,0.0,0,Malaria,18,2018
Independencia,0,0.0,0,Malaria,18,2018
La Altagracia,0,16.0,0,Malaria,18,2018
La Romana,0,0.0,0,Malaria,18,2018
La Vega,0,0.0,0,Malaria,18,2018
María Trinidad Sánchez,0,0.0,0,Malaria,18,2018
Monseñor Nouel,0,0.0,0,Malaria,18,2018
Monte Cristi,0,0.0,0,Malaria,18,2018
Monte Plata,0,0.0,0,Malaria,18,2018
Pedernales,0,0.0,0,Malaria,18,2018
Peravia,0,0.0,0,Malaria,18,2018
Puerto Plata,0,0.0,0,Malaria,18,2018
Samaná,0,0.0,0,Malaria,18,2018
San Cristóbal,0,0.0,0,Malaria,18,2018
San José de Ocoa,0,0.0,0,Malaria,18,2018
San Juan,0,0.0,0,Malaria,18,2018
San Pedro de Macorís,0,3.0,0,Malaria,18,2018
Santiago,0,0.0,0,Malaria,18,2018
Santiago Rodríguez,0,0.0,0,Malaria,18,2018
Santo Domingo,4,42.0,0,Malaria,18,2018
Sánchez Ramírez,0,0.0,0,Malaria,18,2018
Valverde,0,0.0,0,Malaria,18,2018
Azua,0,0.0,0,Malaria,20,2018
Baoruco,0,0.0,0,Malaria,20,2018
Barahona,0,0.0,0,Malaria,20,2018
Dajabón,0,0.0,0,Malaria,20,2018
Distrito Nacional,0,3.0,0,Malaria,20,2018
Duarte,0,0.0,0,Malaria,20,2018
El Seibo,0,4.0,0,Malaria,20,2018
Elías Piña,0,0.0,0,Malaria,20,2018
Espaillat,0,0.0,0,Malaria,20,2018
Extranjera,0,12.0,0,Malaria,20,2018
Hato Mayor,0,0.0,0,Malaria,20,2018
Hermanas Mirabal,0,0.0,0,Malaria,20,2018
Independencia,0,0.0,0,Malaria,20,2018
La Altagracia,0,16.0,0,Malaria,20,2018
La Romana,0,0.0,0,Malaria,20,2018
La Vega,0,0.0,0,Malaria,20,2018
María Trinidad Sánchez,0,0.0,0,Malaria,20,2018
Monseñor Nouel,0,0.0,0,Malaria,20,2018
Monte Cristi,0,0.0,0,Malaria,20,2018
Monte Plata,0,0.0,0,Malaria,20,2018
Pedernales,0,0.0,0,Malaria,20,2018
Peravia,0,0.0,0,Malaria,20,2018
Puerto Plata,0,0.0,0,Malaria,20,2018
Samaná,0,0.0,0,Malaria,20,2018
San Cristóbal,0,0.0,0,Malaria,20,2018
San José de Ocoa,0,0.0,0,Malaria,20,2018
San Juan,0,0.0,0,Malaria,20,2018
San Pedro de Macorís,0,3.0,0,Malaria,20,2018
Santiago,0,0.0,0,Malaria,20,2018
Santiago Rodríguez,0,0.0,0,Malaria,20,2018
Santo Domingo,0,42.0,0,Malaria,20,2018
Sánchez Ramírez,0,0.0,0,Malaria,20,2018
