Provincia,Muertes Maternas,Muertes Infantiles,Condicion,Numero,Year
Santiago Rodríguez,0,0,maternainfantil,20,2018
Santo Domingo,1,17,maternainfantil,20,2018
Sánchez Ramírez,0,0,maternainfantil,20,2018
Valverde,0,0,maternainfantil,20,2018
Azua,0,1,maternainfantil,21,2018
Baoruco,0,1,maternainfantil,21,2018
Barahona,0,0,maternainfantil,21,2018
Dajabón,0,1,maternainfantil,21,2018
Distrito Nacional,0,3,maternainfantil,21,2018
Duarte,0,0,maternainfantil,21,2018
El Seibo,0,0,maternainfantil,21,2018
Elías Piña,0,0,maternainfantil,21,2018
Espaillat,0,0,maternainfantil,21,2018
Extranjera,0,1,maternainfantil,21,2018
Hato Mayor,0,0,maternainfantil,21,2018
Hermanas Mirabal,0,0,maternainfantil,21,2018
Independencia,0,1,maternainfantil,21,2018
La Altagracia,0,0,maternainfantil,21,2018
La Romana,0,0,maternainfantil,21,2018
La Vega,0,4,maternainfantil,21,2018
María Trinidad Sánchez,0,0,maternainfantil,21,2018
Monseñor Nouel,0,1,maternainfantil,21,2018
Monte Cristi,0,1,maternainfantil,21,2018
Monte Plata,0,1,maternainfantil,21,2018
Pedernales,0,0,maternainfantil,21,2018
Peravia,0,1,maternainfantil,21,2018
Puerto Plata,0,0,maternainfantil,21,2018
Samaná,0,0,maternainfantil,21,2018
San Cristóbal,0,4,maternainfantil,21,2018
San José de Ocoa,0,0,maternainfantil,21,2018
San Juan,0,0,maternainfantil,21,2018
San Pedro de Macorís,0,2,maternainfantil,21,2018
Santiago,0,10,maternainfantil,21,2018
Santiago Rodríguez,0,0,maternainfantil,21,2018
Santo Domingo,3,9,maternainfantil,21,2018
Sánchez Ramírez,0,0,maternainfantil,21,2018
Valverde,0,1,maternainfantil,21,2018
Azua,0,2,maternainfantil,22,2018
Baoruco,0,1,maternainfantil,22,2018
