fecha,provincia,casos_probables,incidencia,defun_nuevas,numero,year
2018-3,Santo Domingo,1,3.8,0,3,2018
2018-3,Sánchez Ramírez,0,22.8,0,3,2018
2018-3,Valverde,0,10,0,3,2018
2018-4,Azua,0,0,0,4,2018
2018-4,Baoruco,0,0,0,4,2018
2018-4,Barahona,5,41.3,0,4,2018
2018-4,Dajabón,0,0,0,4,2018
2018-4,Distrito Nacional,3,6.4,0,4,2018
2018-4,Duarte,1,8.8,0,4,2018
2018-4,El Seibo,0,0,0,4,2018
2018-4,Elías Piña,0,0,0,4,2018
2018-4,Espaillat,0,16.4,0,4,2018
2018-4,Extranjera,0,0,0,4,2018
2018-4,Hato Mayor,0,0,0,4,2018
2018-4,Hermanas Mirabal,0,14.1,0,4,2018
2018-4,Independencia,0,0,0,4,2018
2018-4,La Altagracia,0,7.9,0,4,2018
2018-4,La Romana,0,0,0,4,2018
2018-4,La Vega,0,0,0,4,2018
2018-4,María Trinidad Sánchez,0,0,0,4,2018
2018-4,Monseñor Nouel,2,30.3,0,4,2018
2018-4,Monte Cristi,0,11.3,0,4,2018
2018-4,Monte Plata,0,0,0,4,2018
2018-4,Pedernales,0,0,0,4,2018
2018-4,Peravia,0,0,0,4,2018
2018-4,Puerto Plata,0,0,0,4,2018
2018-4,Samaná,1,23.8,0,4,2018
2018-4,San Cristóbal,1,4.2,0,4,2018
2018-4,San José de Ocoa,0,23.2,0,4,2018
2018-4,San Juan,1,17.3,0,4,2018
2018-4,San Pedro de Macorís,0,4.3,0,4,2018
2018-4,Santiago,4,15.3,0,4,2018
2018-4,Santiago Rodríguez,0,0,0,4,2018
2018-4,Santo Domingo,3,4.2,0,4,2018
2018-4,Sánchez Ramírez,0,17.1,0,4,2018
2018-4,Valverde,0,7.5,0,4,2018
2018-5,Azua,0,0,0,5,2018
2018-5,Baoruco,0,0,0,5,2018
2018-5,Barahona,0,33,0,5,2018
2018-5,Dajabón,0,0,0,5,2018
2018-5,Distrito Nacional,1,6.1,0,5,2018
2018-5,Duarte,0,7,0,5,2018
2018-5,El Seibo,0,0,0,5,2018
2018-5,Elías Piña,0,0,0,5,2018
2018-5,Espaillat,0,13.1,0,5,2018
2018-5,Extranjera,0,0,0,5,2018
2018-5,Hato Mayor,0,0,0,5,2018
2018-5,Hermanas Mirabal,0,22.5,0,5,2018
2018-5,Independencia,0,0,0,5,2018
2018-5,La Altagracia,0,6.3,0,5,2018
2018-5,La Romana,0,0,0,5,2018
2018-5,La Vega,1,5.1,0,5,2018
2018-5,María Trinidad Sánchez,2,22.1,0,5,2018
2018-5,Monseñor Nouel,0,24.2,0,5,2018
2018-5,Monte Cristi,0,18,0,5,2018
2018-5,Monte Plata,0,0,0,5,2018
2018-5,Pedernales,0,0,0,5,2018
2018-5,Peravia,0,0,0,5,2018
2018-5,Puerto Plata,1,3.1,0,5,2018
2018-5,Samaná,0,19,0,5,2018
2018-5,San Cristóbal,0,5,0,5,2018
2018-5,San José de Ocoa,0,18.6,0,5,2018
2018-5,San Juan,0,13.8,0,5,2018
2018-5,San Pedro de Macorís,0,6.9,0,5,2018
2018-5,Santiago,1,13.2,0,5,2018
2018-5,Santiago Rodríguez,0,0,0,5,2018
2018-5,Santo Domingo,2,5.3,0,5,2018
2018-5,Sánchez Ramírez,0,13.7,0,5,2018
2018-5,Valverde,1,12,0,5,2018
2018-6,Azua,1,3.9,0,6,2018
2018-6,Baoruco,0,0,0,6,2018
2018-6,Barahona,0,27.5,0,6,2018
2018-6,Dajabón,0,13.2,0,6,2018
2018-6,Distrito Nacional,1,5.9,0,6,2018
2018-6,Duarte,0,5.8,0,6,2018
2018-6,El Seibo,0,0,0,6,2018
2018-6,Elías Piña,0,0,0,6,2018
2018-6,Espaillat,2,21.9,0,6,2018
2018-6,Extranjera,0,0,0,6,2018
2018-6,Hato Mayor,1,10.1,0,6,2018
2018-6,Hermanas Mirabal,1,28.2,0,6,2018
2018-6,Independencia,0,0,0,6,2018
2018-6,La Altagracia,1,7.9,0,6,2018
2018-6,La Romana,0,0,0,6,2018
2018-6,La Vega,1,6.4,0,6,2018
2018-6,María Trinidad Sánchez,0,18.4,0,6,2018
2018-6,Monseñor Nouel,0,20.2,0,6,2018
2018-6,Monte Cristi,0,15,0,6,2018
2018-6,Monte Plata,0,0,0,6,2018
2018-6,Pedernales,0,0,0,6,2018
2018-6,Peravia,0,0,0,6,2018
2018-6,Puerto Plata,0,2.6,0,6,2018
2018-6,Samaná,0,15.9,0,6,2018
2018-6,San Cristóbal,0,4.2,0,6,2018
2018-6,San José de Ocoa,0,15.5,0,6,2018
2018-6,San Juan,0,11.5,0,6,2018
2018-6,San Pedro de Macorís,0,5.8,0,6,2018
2018-6,Santiago,9,19.5,0,6,2018
2018-6,Santiago Rodríguez,0,0,0,6,2018
2018-6,Santo Domingo,1,4.7,0,6,2018
2018-6,Sánchez Ramírez,1,17.1,0,6,2018
2018-6,Valverde,0,10,0,6,2018
2018-7,Azua,0,3.4,0,7,2018
2018-7,Baoruco,0,0,0,7,2018
2018-7,Barahona,0,23.6,0,7,2018
2018-7,Dajabón,0,11.3,0,7,2018
2018-7,Distrito Nacional,0,5.1,0,7,2018
2018-7,Duarte,1,17.5,0,7,2018
2018-7,El Seibo,0,0,0,7,2018
2018-7,Elías Piña,0,0,0,7,2018
2018-7,Espaillat,0,18.7,0,7,2018
2018-7,Extranjera,0,0,0,7,2018
2018-7,Hato Mayor,0,8.7,0,7,2018
2018-7,Hermanas Mirabal,0,24.1,0,7,2018
2018-7,Independencia,0,0,0,7,2018
2018-7,La Altagracia,0,4.5,0,7,2018
2018-7,La Romana,1,2.8,0,7,2018
2018-7,La Vega,1,7.3,0,7,2018
2018-7,María Trinidad Sánchez,0,15.8,0,7,2018
2018-7,Monseñor Nouel,0,17.3,0,7,2018
2018-7,Monte Cristi,0,12.9,0,7,2018
2018-7,Monte Plata,2,11.8,0,7,2018
2018-7,Pedernales,0,0,0,7,2018
2018-7,Peravia,0,0,0,7,2018
2018-7,Puerto Plata,1,4.5,0,7,2018
2018-7,Samaná,0,13.6,0,7,2018
2018-7,San Cristóbal,0,3.6,0,7,2018
2018-7,San José de Ocoa,0,13.3,0,7,2018
2018-7,San Juan,0,9.9,0,7,2018
2018-7,San Pedro de Macorís,3,14.8,0,7,2018
2018-7,Santiago,4,19.6,0,7,2018
2018-7,Santiago Rodríguez,0,0,0,7,2018
2018-7,Santo Domingo,6,5.9,0,7,2018
2018-7,Sánchez Ramírez,0,14.7,0,7,2018
2018-7,Valverde,3,21.5,0,7,2018
2018-8,Azua,0,2.9,0,8,2018
2018-8,Baoruco,0,0,0,8,2018
2018-8,Barahona,0,20.6,0,8,2018
2018-8,Dajabón,0,9.9,0,8,2018
2018-8,Distrito Nacional,1,5.1,0,8,2018
2018-8,Duarte,1,17.5,0,8,2018
2018-8,El Seibo,0,0,0,8,2018
2018-8,Elías Piña,0,0,0,8,2018
2018-8,Espaillat,2,21.9,0,8,2018
2018-8,Extranjera,0,0,0,8,2018
2018-8,Hato Mayor,0,7.6,0,8,2018
2018-8,Hermanas Mirabal,3,42.2,0,8,2018
2018-8,Independencia,0,0,0,8,2018
2018-8,La Altagracia,0,3.9,0,8,2018
2018-8,La Romana,0,2.5,0,8,2018
2018-8,La Vega,2,9.6,0,8,2018
2018-8,María Trinidad Sánchez,0,13.8,0,8,2018
2018-8,Monseñor Nouel,2,22.7,0,8,2018
2018-8,Monte Cristi,0,11.3,0,8,2018
2018-8,Monte Plata,0,10.3,0,8,2018
2018-8,Pedernales,0,0,0,8,2018
2018-8,Peravia,0,0,0,8,2018
2018-8,Puerto Plata,0,3.9,0,8,2018
2018-8,Samaná,0,11.9,0,8,2018
2018-8,San Cristóbal,0,3.2,0,8,2018
2018-8,San José de Ocoa,0,11.6,0,8,2018
2018-8,San Juan,0,8.7,0,8,2018
2018-8,San Pedro de Macorís,0,15.1,0,8,2018
2018-8,Santiago,5,20.3,0,8,2018
2018-8,Santiago Rodríguez,0,0,0,8,2018
2018-8,Santo Domingo,3,6.1,0,8,2018
2018-8,Sánchez Ramírez,0,12.8,0,8,2018
2018-8,Valverde,1,22.5,0,8,2018
2018-9,Azua,0,2.6,0,9,2018
2018-9,Baoruco,0,0,0,9,2018
2018-9,Barahona,2,24.5,0,9,2018
2018-9,Dajabón,0,8.8,0,9,2018
2018-9,Distrito Nacional,0,4.5,0,9,2018
2018-9,Duarte,1,17.5,0,9,2018
2018-9,El Seibo,0,0,0,9,2018
2018-9,Elías Piña,0,0,0,9,2018
2018-9,Espaillat,2,24.3,0,9,2018
2018-9,Extranjera,0,0,0,9,2018
2018-9,Hato Mayor,0,6.7,0,9,2018
2018-9,Hermanas Mirabal,0,37.6,0,9,2018
2018-9,Independencia,0,0,0,9,2018
2018-9,La Altagracia,0,5.2,0,9,2018
2018-9,La Romana,1,4.4,0,9,2018
2018-9,La Vega,0,8.5,0,9,2018
2018-9,María Trinidad Sánchez,0,12.3,0,9,2018
2018-9,Monseñor Nouel,0,20.2,0,9,2018
2018-9,Monte Cristi,2,20,0,9,2018
2018-9,Monte Plata,1,12.2,0,9,2018
2018-9,Pedernales,0,0,0,9,2018
2018-9,Peravia,0,0,0,9,2018
2018-9,Puerto Plata,0,3.5,0,9,2018
2018-9,Samaná,0,5.3,0,9,2018
2018-9,San Cristóbal,0,2.8,0,9,2018
2018-9,San José de Ocoa,0,10.3,0,9,2018
2018-9,San Juan,0,7.7,0,9,2018
2018-9,San Pedro de Macorís,0,13.4,0,9,2018
2018-9,Santiago,6,22,0,9,2018
2018-9,Santiago Rodríguez,0,0,0,9,2018
2018-9,Santo Domingo,6,6.7,0,9,2018
2018-9,Sánchez Ramírez,0,11.4,0,9,2018
2018-9,Valverde,4,33.4,0,9,2018
2018-10,Azua,1,4.7,0,10,2018
2018-10,Baoruco,0,0,0,10,2018
2018-10,Barahona,0,22,0,10,2018
2018-10,Dajabón,0,7.9,0,10,2018
2018-10,Distrito Nacional,1,4.6,0,10,2018
2018-10,Duarte,2,19.3,0,10,2018
2018-10,El Seibo,0,0,0,10,2018
2018-10,Elías Piña,0,0,0,10,2018
2018-10,Espaillat,2,26.2,0,10,2018
2018-10,Extranjera,0,0,0,10,2018
2018-10,Hato Mayor,0,6.1,0,10,2018
2018-10,Hermanas Mirabal,0,33.8,0,10,2018
2018-10,Independencia,0,9.2,0,10,2018
2018-10,La Altagracia,0,4.7,0,10,2018
2018-10,La Romana,0,3.9,0,10,2018
2018-10,La Vega,0,7.7,0,10,2018
2018-10,María Trinidad Sánchez,0,11,0,10,2018
2018-10,Monseñor Nouel,1,21.2,0,10,2018
2018-10,Monte Cristi,1,22.6,0,10,2018
2018-10,Monte Plata,0,11,0,10,2018
2018-10,Pedernales,0,0,0,10,2018
2018-10,Peravia,0,0,0,10,2018
2018-10,Puerto Plata,0,3.1,0,10,2018
2018-10,Samaná,2,14.3,0,10,2018
2018-10,San Cristóbal,0,2.5,0,10,2018
2018-10,San José de Ocoa,0,9.3,0,10,2018
2018-10,San Juan,1,9.2,0,10,2018
2018-10,San Pedro de Macorís,3,17.3,0,10,2018
2018-10,Santiago,6,24.4,0,10,2018
2018-10,Santiago Rodríguez,0,0,0,10,2018
2018-10,Santo Domingo,2,6.4,0,10,2018
2018-10,Sánchez Ramírez,0,10.3,0,10,2018
2018-10,Valverde,6,48.1,0,10,2018
2018-11,Azua,0,6.4,0,11,2018
2018-11,Baoruco,0,0,0,11,2018
2018-11,Barahona,0,20,0,11,2018
2018-11,Dajabón,0,7.2,0,11,2018
2018-11,Distrito Nacional,1,4.2,0,11,2018
2018-11,Duarte,4,25.5,0,11,2018
2018-11,El Seibo,0,0,0,11,2018
2018-11,Elías Piña,0,0,0,11,2018
2018-11,Espaillat,2,27.8,0,11,2018
2018-11,Extranjera,0,0,0,11,2018
2018-11,Hato Mayor,0,5.5,0,11,2018
2018-11,Hermanas Mirabal,0,30.7,0,11,2018
2018-11,Independencia,2,25,0,11,2018
2018-11,La Altagracia,1,5.7,0,11,2018
2018-11,La Romana,0,3.6,0,11,2018
2018-11,La Vega,3,11.6,0,11,2018
2018-11,María Trinidad Sánchez,0,10,0,11,2018
2018-11,Monseñor Nouel,1,22,0,11,2018
2018-11,Monte Cristi,3,36.9,0,11,2018
2018-11,Monte Plata,0,10,0,11,2018
2018-11,Pedernales,1,13.9,0,11,2018
2018-11,Peravia,0,0,0,11,2018
2018-11,Puerto Plata,0,2.9,0,11,2018
2018-11,Samaná,2,21.6,0,11,2018
2018-11,San Cristóbal,0,2.3,0,11,2018
2018-11,San José de Ocoa,0,8.4,0,11,2018
2018-11,San Juan,4,16.8,0,11,2018
2018-11,San Pedro de Macorís,0,15.7,0,11,2018
2018-11,Santiago,4,25.9,0,11,2018
2018-11,Santiago Rodríguez,1,8.2,0,11,2018
2018-11,Santo Domingo,8,7.4,0,11,2018
2018-11,Sánchez Ramírez,0,12.4,0,11,2018
2018-11,Valverde,6,65.6,0,11,2018
2018-13,Azua,1,9.1,0,13,2018
2018-13,Baoruco,0,0,0,13,2018
2018-13,Barahona,3,23.3,0,13,2018
2018-13,Dajabón,0,6.1,0,13,2018
2018-13,Distrito Nacional,1,5.5,0,13,2018
2018-13,Duarte,0,22.9,0,13,2018
2018-13,El Seibo,0,4.4,0,13,2018
2018-13,Elías Piña,0,12.6,0,13,2018
2018-13,Espaillat,0,28.6,0,13,2018
2018-13,Extranjera,0,0,0,13,2018
2018-13,Hato Mayor,0,4.7,0,13,2018
2018-13,Hermanas Mirabal,0,30.3,0,13,2018
2018-13,Independencia,0,21.1,0,13,2018
2018-13,La Altagracia,1,7.3,0,13,2018
2018-13,La Romana,0,3,0,13,2018
2018-13,La Vega,0,12.8,0,13,2018
2018-13,María Trinidad Sánchez,0,8.5,0,13,2018
2018-13,Monseñor Nouel,0,18.6,0,13,2018
2018-13,Monte Cristi,0,31.2,0,13,2018
2018-13,Monte Plata,0,8.4,0,13,2018
2018-13,Pedernales,0,11.7,0,13,2018
2018-13,Peravia,0,0,0,13,2018
2018-13,Puerto Plata,0,3.6,0,13,2018
2018-13,Samaná,4,33,0,13,2018
2018-13,San Cristóbal,2,4.5,0,13,2018
2018-13,San José de Ocoa,0,7.1,0,13,2018
2018-13,San Juan,1,16,0,13,2018
2018-13,San Pedro de Macorís,0,13.3,0,13,2018
2018-13,Santiago,3,24.2,0,13,2018
2018-13,Santiago Rodríguez,0,7,0,13,2018
2018-13,Santo Domingo,1,7.4,0,13,2018
2018-13,Sánchez Ramírez,0,10.5,0,13,2018
2018-13,Valverde,0,57.8,0,13,2018
2018-14,Azua,0,8.4,0,14,2018
2018-14,Baoruco,0,0,0,14,2018
2018-14,Barahona,1,23.6,0,14,2018
2018-14,Dajabón,0,5.6,0,14,2018
2018-14,Distrito Nacional,3,6.5,0,14,2018
2018-14,Duarte,0,21.3,0,14,2018
2018-14,El Seibo,0,4,0,14,2018
2018-14,Elías Piña,0,11.7,0,14,2018
2018-14,Espaillat,1,28.1,0,14,2018
2018-14,Extranjera,0,0,0,14,2018
2018-14,Hato Mayor,0,4.3,0,14,2018
2018-14,Hermanas Mirabal,0,28.2,0,14,2018
2018-14,Independencia,0,19.6,0,14,2018
2018-14,La Altagracia,1,7.9,0,14,2018
2018-14,La Romana,0,2.8,0,14,2018
2018-14,La Vega,1,12.8,0,14,2018
2018-14,María Trinidad Sánchez,1,10.5,0,14,2018
2018-14,Monseñor Nouel,0,17.3,0,14,2018
2018-14,Monte Cristi,0,29,0,14,2018
2018-14,Monte Plata,0,7.8,0,14,2018
2018-14,Pedernales,0,10.9,0,14,2018
2018-14,Peravia,0,0,0,14,2018
2018-14,Puerto Plata,0,3.4,0,14,2018
2018-14,Samaná,0,30.6,0,14,2018
2018-14,San Cristóbal,0,4.2,0,14,2018
2018-14,San José de Ocoa,0,6.6,0,14,2018
2018-14,San Juan,2,18.1,0,14,2018
2018-14,San Pedro de Macorís,1,13.6,0,14,2018
2018-14,Santiago,0,22.5,0,14,2018
2018-14,Santiago Rodríguez,0,6.5,0,14,2018
2018-14,Santo Domingo,5,7.7,0,14,2018
2018-14,Sánchez Ramírez,0,9.8,0,14,2018
2018-14,Valverde,1,55.8,0,14,2018
2018-15,Azua,8,25.2,0,15,2018
2018-15,Baoruco,0,0,0,15,2018
2018-15,Barahona,0,22,0,15,2018
2018-15,Dajabón,0,5.3,0,15,2018
2018-15,Distrito Nacional,5,7.8,0,15,2018
2018-15,Duarte,0,19.9,0,15,2018
2018-15,El Seibo,0,3.8,0,15,2018
2018-15,Elías Piña,0,10.9,0,15,2018
2018-15,Espaillat,0,27.7,0,15,2018
2018-15,Extranjera,0,0,0,15,2018
2018-15,Hato Mayor,0,4,0,15,2018
2018-15,Hermanas Mirabal,0,26.3,0,15,2018
2018-15,Independencia,0,18.3,0,15,2018
2018-15,La Altagracia,1,8.4,0,15,2018
2018-15,La Romana,0,2.6,0,15,2018
2018-15,La Vega,1,13.6,0,15,2018
2018-15,María Trinidad Sánchez,0,9.8,0,15,2018
2018-15,Monseñor Nouel,0,16.1,0,15,2018
2018-15,Monte Cristi,1,30.1,0,15,2018
2018-15,Monte Plata,1,9.1,0,15,2018
2018-15,Pedernales,0,10.2,0,15,2018
2018-15,Peravia,0,0,0,15,2018
2018-15,Puerto Plata,0,3.1,0,15,2018
2018-15,Samaná,0,28.6,0,15,2018
2018-15,San Cristóbal,1,5.6,0,15,2018
2018-15,San José de Ocoa,0,6.2,0,15,2018
2018-15,San Juan,0,16.9,0,15,2018
2018-15,San Pedro de Macorís,1,13.8,0,15,2018
2018-15,Santiago,1,21.4,0,15,2018
2018-15,Santiago Rodríguez,0,6,0,15,2018
2018-15,Santo Domingo,2,7.6,0,15,2018
2018-15,Sánchez Ramírez,0,9.1,0,15,2018
2018-15,Valverde,1,54.1,0,15,2018
2018-17,Azua,1,37.5,0,17,2018
2018-17,Baoruco,1,3.1,0,17,2018
2018-17,Barahona,0,21,0,17,2018
2018-17,Dajabón,0,4.7,0,17,2018
2018-17,Distrito Nacional,1,7.8,0,17,2018
2018-17,Duarte,1,18.6,0,17,2018
2018-17,El Seibo,0,3.3,0,17,2018
2018-17,Elías Piña,0,9.6,0,17,2018
2018-17,Espaillat,1,27,0,17,2018
2018-17,Extranjera,0,0,0,17,2018
2018-17,Hato Mayor,0,14.3,0,17,2018
2018-17,Hermanas Mirabal,0,23.2,0,17,2018
2018-17,Independencia,0,16.2,0,17,2018
2018-17,La Altagracia,0,7.4,0,17,2018
2018-17,La Romana,0,2.3,0,17,2018
2018-17,La Vega,0,14.3,0,17,2018
2018-17,María Trinidad Sánchez,0,8.7,0,17,2018
2018-17,Monseñor Nouel,0,14.2,0,17,2018
2018-17,Monte Cristi,0,29.2,0,17,2018
2018-17,Monte Plata,0,8.1,0,17,2018
2018-17,Pedernales,0,9,0,17,2018
2018-17,Peravia,0,0,0,17,2018
2018-17,Puerto Plata,0,2.8,0,17,2018
2018-17,Samaná,0,25.2,0,17,2018
2018-17,San Cristóbal,1,6.4,0,17,2018
2018-17,San José de Ocoa,0,5.5,0,17,2018
2018-17,San Juan,0,17.6,0,17,2018
2018-17,San Pedro de Macorís,1,15.2,0,17,2018
2018-17,Santiago,1,19.7,0,17,2018
2018-17,Santiago Rodríguez,0,5.3,0,17,2018
2018-17,Santo Domingo,6,8.2,0,17,2018
2018-17,Sánchez Ramírez,0,10.1,0,17,2018
2018-17,Valverde,0,47.7,0,17,2018
2018-18,Azua,1,36.7,0,18,2018
2018-18,Baoruco,0,2.9,0,18,2018
2018-18,Barahona,3,26,0,18,2018
2018-18,Dajabón,0,4.4,0,18,2018
2018-18,Distrito Nacional,0,7.3,0,18,2018
2018-18,Duarte,2,19.5,0,18,2018
2018-18,El Seibo,1,6.3,0,18,2018
2018-18,Elías Piña,0,9.1,0,18,2018
2018-18,Espaillat,0,25.5,0,18,2018
2018-18,Extranjera,0,0,0,18,2018
2018-18,Hato Mayor,0,13.5,0,18,2018
2018-18,Hermanas Mirabal,3,31.3,0,18,2018
2018-18,Independencia,0,15.3,0,18,2018
2018-18,La Altagracia,0,7,0,18,2018
2018-18,La Romana,0,2.2,0,18,2018
2018-18,La Vega,0,13.5,0,18,2018
2018-18,María Trinidad Sánchez,0,8.2,0,18,2018
2018-18,Monseñor Nouel,0,13.4,0,18,2018
2018-18,Monte Cristi,0,27.6,0,18,2018
2018-18,Monte Plata,0,7.6,0,18,2018
2018-18,Pedernales,0,8.5,0,18,2018
2018-18,Peravia,0,0,0,18,2018
2018-18,Puerto Plata,0,2.6,0,18,2018
2018-18,Samaná,0,23.8,0,18,2018
2018-18,San Cristóbal,0,6.1,0,18,2018
2018-18,San José de Ocoa,0,5.2,0,18,2018
2018-18,San Juan,0,16.7,0,18,2018
2018-18,San Pedro de Macorís,1,15.3,0,18,2018
2018-18,Santiago,1,18.9,0,18,2018
2018-18,Santiago Rodríguez,0,5,0,18,2018
2018-18,Santo Domingo,1,7.9,0,18,2018
2018-18,Sánchez Ramírez,0,9.5,0,18,2018
2018-18,Valverde,0,45.1,0,18,2018
2018-20,Azua,0,33,0,20,2018
2018-20,Baoruco,0,5.2,0,20,2018
2018-20,Barahona,3,28.9,0,20,2018
2018-20,Dajabón,0,4,0,20,2018
2018-20,Distrito Nacional,1,7.4,0,20,2018
2018-20,Duarte,0,18.4,0,20,2018
2018-20,El Seibo,0,5.7,0,20,2018
2018-20,Elías Piña,0,8.2,0,20,2018
2018-20,Espaillat,0,23,0,20,2018
2018-20,Extranjera,0,0,0,20,2018
2018-20,Hato Mayor,0,12.1,0,20,2018
2018-20,Hermanas Mirabal,0,31,0,20,2018
2018-20,Independencia,0,13.7,0,20,2018
2018-20,La Altagracia,0,6.3,0,20,2018
2018-20,La Romana,0,2,0,20,2018
2018-20,La Vega,1,13.4,0,20,2018
2018-20,María Trinidad Sánchez,1,11,0,20,2018
2018-20,Monseñor Nouel,0,12.1,0,20,2018
2018-20,Monte Cristi,0,24.8,0,20,2018
2018-20,Monte Plata,0,6.9,0,20,2018
2018-20,Pedernales,1,30.5,0,20,2018
2018-20,Peravia,0,0,0,20,2018
2018-20,Puerto Plata,0,2.4,0,20,2018
2018-20,Samaná,0,21.4,0,20,2018
2018-20,San Cristóbal,0,5.5,0,20,2018
2018-20,San José de Ocoa,0,13.9,0,20,2018
2018-20,San Juan,0,17.3,0,20,2018
2018-20,San Pedro de Macorís,0,13.8,0,20,2018
2018-20,Santiago,1,17.8,0,20,2018
2018-20,Santiago Rodríguez,0,4.5,0,20,2018
2018-20,Santo Domingo,4,8.2,0,20,2018
2018-20,Sánchez Ramírez,0,8.6,0,20,2018
2018-20,Valverde,0,40.6,0,20,2018
2018-21,Azua,0,30.3,0,21,2018
2018-21,Baoruco,0,5,0,21,2018
2018-21,Barahona,0,28.8,0,21,2018
2018-21,Dajabón,0,3.8,0,21,2018
2018-21,Distrito Nacional,4,8,0,21,2018
2018-21,Duarte,0,17.5,0,21,2018
2018-21,El Seibo,0,5.4,0,21,2018
2018-21,Elías Piña,0,7.8,0,21,2018
2018-21,Espaillat,0,22.9,0,21,2018
2018-21,Extranjera,0,0,0,21,2018
