Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
La Altagracia,0,0.0,0,leptospirosis,6,2018
La Romana,0,0.0,0,leptospirosis,6,2018
La Vega,3,19.2,1,leptospirosis,6,2018
María Trinidad Sánchez,0,18.4,0,leptospirosis,6,2018
Monseñor Nouel,0,5.0,0,leptospirosis,6,2018
Monte Cristi,0,15.0,0,leptospirosis,6,2018
Monte Plata,1,4.6,0,leptospirosis,6,2018
Pedernales,0,0.0,0,leptospirosis,6,2018
Peravia,0,0.0,0,leptospirosis,6,2018
Puerto Plata,0,5.2,0,leptospirosis,6,2018
Samaná,0,7.9,0,leptospirosis,6,2018
San Cristóbal,0,0.0,0,leptospirosis,6,2018
San José de Ocoa,0,30.9,0,leptospirosis,6,2018
San Juan,0,11.5,0,leptospirosis,6,2018
San Pedro de Macorís,2,14.4,0,leptospirosis,6,2018
Santiago,1,7.6,0,leptospirosis,6,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,6,2018
Santo Domingo,1,1.6,0,leptospirosis,6,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,6,2018
Valverde,0,25.0,0,leptospirosis,6,2018
Azua,0,0.0,0,leptospirosis,7,2018
Baoruco,0,7.4,0,leptospirosis,7,2018
Barahona,0,3.9,0,leptospirosis,7,2018
Dajabón,0,0.0,0,leptospirosis,7,2018
Distrito Nacional,0,1.5,0,leptospirosis,7,2018
Duarte,0,12.5,0,leptospirosis,7,2018
El Seibo,0,16.2,0,leptospirosis,7,2018
Elías Piña,0,0.0,0,leptospirosis,7,2018
Espaillat,1,6.2,0,leptospirosis,7,2018
Extranjera,0,0.0,0,leptospirosis,7,2018
Hato Mayor,0,8.7,0,leptospirosis,7,2018
Hermanas Mirabal,0,8.0,0,leptospirosis,7,2018
Independencia,0,0.0,0,leptospirosis,7,2018
La Altagracia,0,0.0,0,leptospirosis,7,2018
La Romana,0,2.8,0,leptospirosis,7,2018
La Vega,3,21.9,0,leptospirosis,7,2018
María Trinidad Sánchez,0,15.8,0,leptospirosis,7,2018
Monseñor Nouel,0,4.3,0,leptospirosis,7,2018
Monte Cristi,0,12.9,0,leptospirosis,7,2018
Monte Plata,0,3.9,0,leptospirosis,7,2018
Pedernales,0,0.0,0,leptospirosis,7,2018
Peravia,0,0.0,0,leptospirosis,7,2018
Puerto Plata,0,6.7,0,leptospirosis,7,2018
Samaná,1,20.4,0,leptospirosis,7,2018
San Cristóbal,0,0.0,0,leptospirosis,7,2018
San José de Ocoa,0,26.5,0,leptospirosis,7,2018
San Juan,0,9.9,0,leptospirosis,7,2018
San Pedro de Macorís,1,14.8,0,leptospirosis,7,2018
Santiago,5,9.4,1,leptospirosis,7,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,7,2018
Santo Domingo,1,1.6,0,leptospirosis,7,2018
Sánchez Ramírez,1,4.9,0,leptospirosis,7,2018
Valverde,0,21.5,0,leptospirosis,7,2018
Azua,0,0.0,0,leptospirosis,8,2018
Baoruco,0,6.5,0,leptospirosis,8,2018
Barahona,0,3.4,0,leptospirosis,8,2018
Dajabón,0,0.0,0,leptospirosis,8,2018
Distrito Nacional,2,2.5,0,leptospirosis,8,2018
Duarte,0,11.0,0,leptospirosis,8,2018
El Seibo,0,14.2,0,leptospirosis,8,2018
Elías Piña,0,0.0,0,leptospirosis,8,2018
Espaillat,0,5.5,0,leptospirosis,8,2018
Extranjera,0,0.0,0,leptospirosis,8,2018
Hato Mayor,0,7.6,0,leptospirosis,8,2018
Hermanas Mirabal,1,21.1,0,leptospirosis,8,2018
Independencia,0,0.0,0,leptospirosis,8,2018
La Altagracia,0,0.0,0,leptospirosis,8,2018
La Romana,0,2.5,0,leptospirosis,8,2018
La Vega,0,19.2,0,leptospirosis,8,2018
María Trinidad Sánchez,0,13.8,0,leptospirosis,8,2018
Monseñor Nouel,0,3.8,0,leptospirosis,8,2018
Monte Cristi,1,16.9,0,leptospirosis,8,2018
Monte Plata,2,10.3,1,leptospirosis,8,2018
Pedernales,0,0.0,0,leptospirosis,8,2018
Peravia,0,0.0,0,leptospirosis,8,2018
Puerto Plata,0,5.9,0,leptospirosis,8,2018
Samaná,0,17.9,0,leptospirosis,8,2018
San Cristóbal,1,1.1,0,leptospirosis,8,2018
San José de Ocoa,0,23.2,0,leptospirosis,8,2018
San Juan,0,8.7,0,leptospirosis,8,2018
San Pedro de Macorís,1,15.1,0,leptospirosis,8,2018
Santiago,2,9.5,0,leptospirosis,8,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,8,2018
Santo Domingo,0,1.7,0,leptospirosis,8,2018
Sánchez Ramírez,0,4.3,0,leptospirosis,8,2018
Valverde,4,33.8,1,leptospirosis,8,2018
Azua,0,0.0,0,leptospirosis,9,2018
Baoruco,0,5.8,0,leptospirosis,9,2018
Barahona,0,3.1,0,leptospirosis,9,2018
Dajabón,0,0.0,0,leptospirosis,9,2018
Distrito Nacional,2,3.4,1,leptospirosis,9,2018
Duarte,1,13.6,0,leptospirosis,9,2018
El Seibo,0,12.6,0,leptospirosis,9,2018
Elías Piña,0,0.0,0,leptospirosis,9,2018
Espaillat,1,7.3,1,leptospirosis,9,2018
Extranjera,0,0.0,0,leptospirosis,9,2018
Hato Mayor,1,20.2,0,leptospirosis,9,2018
Hermanas Mirabal,0,18.8,0,leptospirosis,9,2018
Independencia,0,0.0,0,leptospirosis,9,2018
La Altagracia,0,0.0,0,leptospirosis,9,2018
La Romana,2,6.5,0,leptospirosis,9,2018
La Vega,2,21.3,0,leptospirosis,9,2018
María Trinidad Sánchez,0,12.3,0,leptospirosis,9,2018
Monseñor Nouel,0,3.4,0,leptospirosis,9,2018
Monte Cristi,0,15.0,0,leptospirosis,9,2018
Monte Plata,0,9.1,0,leptospirosis,9,2018
Pedernales,0,0.0,0,leptospirosis,9,2018
Peravia,0,0.0,0,leptospirosis,9,2018
Puerto Plata,1,7.0,0,leptospirosis,9,2018
Samaná,0,21.2,0,leptospirosis,9,2018
San Cristóbal,0,0.9,0,leptospirosis,9,2018
San José de Ocoa,0,20.6,0,leptospirosis,9,2018
San Juan,0,7.7,0,leptospirosis,9,2018
San Pedro de Macorís,0,13.4,0,leptospirosis,9,2018
Santiago,0,8.5,0,leptospirosis,9,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,9,2018
Santo Domingo,12,4.2,2,leptospirosis,9,2018
Sánchez Ramírez,0,3.8,0,leptospirosis,9,2018
Valverde,0,36.7,0,leptospirosis,9,2018
Azua,0,0.0,0,leptospirosis,10,2018
Baoruco,0,5.2,0,leptospirosis,10,2018
Barahona,0,2.8,0,leptospirosis,10,2018
Dajabón,0,0.0,0,leptospirosis,10,2018
Distrito Nacional,1,3.6,0,leptospirosis,10,2018
Duarte,1,14.0,0,leptospirosis,10,2018
El Seibo,1,17.0,0,leptospirosis,10,2018
Elías Piña,0,0.0,0,leptospirosis,10,2018
Espaillat,0,8.7,0,leptospirosis,10,2018
Extranjera,0,0.0,0,leptospirosis,10,2018
Hato Mayor,0,18.2,0,leptospirosis,10,2018
Hermanas Mirabal,0,16.9,0,leptospirosis,10,2018
Independencia,0,0.0,0,leptospirosis,10,2018
La Altagracia,3,4.7,0,leptospirosis,10,2018
La Romana,1,9.8,0,leptospirosis,10,2018
La Vega,1,20.4,0,leptospirosis,10,2018
María Trinidad Sánchez,0,11.0,0,leptospirosis,10,2018
Monseñor Nouel,0,3.0,0,leptospirosis,10,2018
Monte Cristi,0,13.5,0,leptospirosis,10,2018
Monte Plata,0,8.2,0,leptospirosis,10,2018
Pedernales,0,0.0,0,leptospirosis,10,2018
Peravia,0,0.0,0,leptospirosis,10,2018
Puerto Plata,0,6.3,0,leptospirosis,10,2018
Samaná,2,28.6,0,leptospirosis,10,2018
San Cristóbal,0,1.7,0,leptospirosis,10,2018
San José de Ocoa,1,27.8,0,leptospirosis,10,2018
San Juan,0,6.9,0,leptospirosis,10,2018
San Pedro de Macorís,4,19.0,0,leptospirosis,10,2018
Santiago,2,8.6,1,leptospirosis,10,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,10,2018
Santo Domingo,8,5.5,0,leptospirosis,10,2018
Sánchez Ramírez,0,3.4,0,leptospirosis,10,2018
Valverde,0,36.1,0,leptospirosis,10,2018
Azua,0,0.0,0,leptospirosis,11,2018
Baoruco,0,4.7,0,leptospirosis,11,2018
Barahona,1,5.0,0,leptospirosis,11,2018
Dajabón,0,0.0,0,leptospirosis,11,2018
Distrito Nacional,1,3.7,0,leptospirosis,11,2018
Duarte,2,15.9,0,leptospirosis,11,2018
El Seibo,1,20.6,0,leptospirosis,11,2018
Elías Piña,0,0.0,0,leptospirosis,11,2018
Espaillat,0,7.9,0,leptospirosis,11,2018
Extranjera,0,0.0,0,leptospirosis,11,2018
Hato Mayor,0,16.6,0,leptospirosis,11,2018
Hermanas Mirabal,1,20.5,0,leptospirosis,11,2018
Independencia,0,0.0,0,leptospirosis,11,2018
La Altagracia,2,7.2,0,leptospirosis,11,2018
La Romana,0,8.9,0,leptospirosis,11,2018
La Vega,1,20.9,0,leptospirosis,11,2018
María Trinidad Sánchez,0,10.0,0,leptospirosis,11,2018
Monseñor Nouel,0,2.8,0,leptospirosis,11,2018
Monte Cristi,0,12.3,0,leptospirosis,11,2018
Monte Plata,0,7.5,0,leptospirosis,11,2018
Pedernales,0,0.0,0,leptospirosis,11,2018
Peravia,0,0.0,0,leptospirosis,11,2018
Puerto Plata,0,7.2,0,leptospirosis,11,2018
Samaná,0,26.0,0,leptospirosis,11,2018
San Cristóbal,1,3.1,0,leptospirosis,11,2018
